2017-06-07 17:23:16 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-06-07 17:23:16 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-06-07 17:23:16 install lsb-base:all <none> 4.1+Debian13+nmu1
2017-06-07 17:23:16 status half-installed lsb-base:all 4.1+Debian13+nmu1
2017-06-07 17:23:16 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-06-07 17:23:16 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-06-07 17:23:16 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:16 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:16 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:16 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:16 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:16 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:17 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:17 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-06-07 17:23:17 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2017-06-07 17:23:17 status half-configured mawk:amd64 1.3.3-17
2017-06-07 17:23:17 status unpacked mawk:amd64 1.3.3-17
2017-06-07 17:23:17 status half-installed mawk:amd64 1.3.3-17
2017-06-07 17:23:17 status half-installed mawk:amd64 1.3.3-17
2017-06-07 17:23:17 status unpacked mawk:amd64 1.3.3-17
2017-06-07 17:23:17 status unpacked mawk:amd64 1.3.3-17
2017-06-07 17:23:17 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2017-06-07 17:23:17 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2017-06-07 17:23:17 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2017-06-07 17:23:17 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 install ncurses-base:all <none> 5.9+20140913-1
2017-06-07 17:23:17 status half-installed ncurses-base:all 5.9+20140913-1
2017-06-07 17:23:17 status unpacked ncurses-base:all 5.9+20140913-1
2017-06-07 17:23:17 status unpacked ncurses-base:all 5.9+20140913-1
2017-06-07 17:23:17 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2017-06-07 17:23:17 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-06-07 17:23:17 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-06-07 17:23:17 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2017-06-07 17:23:17 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2017-06-07 17:23:17 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-06-07 17:23:17 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-06-07 17:23:17 upgrade perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-06-07 17:23:17 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-06-07 17:23:17 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-06-07 17:23:17 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-06-07 17:23:18 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-06-07 17:23:18 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-06-07 17:23:18 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-06-07 17:23:18 install libprocps3:amd64 <none> 2:3.3.9-9
2017-06-07 17:23:18 status half-installed libprocps3:amd64 2:3.3.9-9
2017-06-07 17:23:18 status unpacked libprocps3:amd64 2:3.3.9-9
2017-06-07 17:23:18 status unpacked libprocps3:amd64 2:3.3.9-9
2017-06-07 17:23:18 install procps:amd64 <none> 2:3.3.9-9
2017-06-07 17:23:18 status half-installed procps:amd64 2:3.3.9-9
2017-06-07 17:23:18 status unpacked procps:amd64 2:3.3.9-9
2017-06-07 17:23:18 status unpacked procps:amd64 2:3.3.9-9
2017-06-07 17:23:18 install sed:amd64 <none> 4.2.2-4+deb8u1
2017-06-07 17:23:18 status half-installed sed:amd64 4.2.2-4+deb8u1
2017-06-07 17:23:18 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-06-07 17:23:18 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-06-07 17:23:18 install sensible-utils:all <none> 0.0.9
2017-06-07 17:23:18 status half-installed sensible-utils:all 0.0.9
2017-06-07 17:23:18 status unpacked sensible-utils:all 0.0.9
2017-06-07 17:23:18 status unpacked sensible-utils:all 0.0.9
2017-06-07 17:23:18 install login:amd64 <none> 1:4.2-3+deb8u3
2017-06-07 17:23:18 status half-installed login:amd64 1:4.2-3+deb8u3
2017-06-07 17:23:18 status unpacked login:amd64 1:4.2-3+deb8u3
2017-06-07 17:23:18 status unpacked login:amd64 1:4.2-3+deb8u3
2017-06-07 17:23:18 install passwd:amd64 <none> 1:4.2-3+deb8u3
2017-06-07 17:23:18 status half-installed passwd:amd64 1:4.2-3+deb8u3
2017-06-07 17:23:19 status unpacked passwd:amd64 1:4.2-3+deb8u3
2017-06-07 17:23:19 status unpacked passwd:amd64 1:4.2-3+deb8u3
2017-06-07 17:23:19 install libslang2:amd64 <none> 2.3.0-2
2017-06-07 17:23:19 status half-installed libslang2:amd64 2.3.0-2
2017-06-07 17:23:19 status unpacked libslang2:amd64 2.3.0-2
2017-06-07 17:23:19 status unpacked libslang2:amd64 2.3.0-2
2017-06-07 17:23:19 install startpar:amd64 <none> 0.59-3
